AYDINLATMA,MESKEN,SANAYI,TARIMSAL_SULAMA,TICARETHANE,TUKETIM_GENEL_TOPLAM,TUKETIM_PAYI(%),BIYOKUTLE_LISANSSIZ,GUNES_LISANSSIZ,HIDROLIK_LISANSSIZ,RUZGAR_LISANSSIZ,LISANSSIZ_GENEL_TOPLAM,URETIM_LISANSLI,LISANSLI_ORAN,NUFUS,GSYH,ENLEM,BOYLAM,KUZEYDOĞU_SINIR_ENLEM,KUZEYDOĞU_SINIR_BOYLAM,GUNEYBATI_SINIR_ENLEM,GUNEYBATI_SINIR_BOYLAM,ALAN,TARIH,ILLER,BOLGE,YEAR
9651.7,96372.42,120889.62,705.24,81934.11,309553.09,1.56,0,3580.06,0,2690.64,6270.7,974314.98,3.73,1226575,265645558.8,39.648369,27.88261,39.693666,27.95241,39.612411,27.838313,14583,2018-01-01,BALIKESIR,MARMARA BOLGESI,2018
2609.79,11203.44,18633.22,56.94,8814.31,41317.7,0.21,0,2.92,0,0,2.92,1227.18,0,198999,265645558.8,41.6344444,32.3375,41.656542,32.37105,41.613513,32.297457,2330,2018-01-01,BARTIN,KARADENIZ BOLGESI,2018
2394.76,26155.71,22136.52,5132.97,26172.82,81992.78,0.41,0,561.77,0,0,561.77,15155.22,0.06,599103,265645558.8,37.881168,41.13509,37.947274,41.17603,37.85657,41.080591,4477,2018-01-01,BATMAN,GUNEYDOGU ANADOLU BOLGESI,2018
977.88,2823.87,198.37,4.01,3966.82,7970.94,0.04,0,305.72,0,0,305.72,2714.68,0.01,82274,265645558.8,40.255169,40.22488,40.272636,40.238261,40.242881,40.208762,3746,2018-01-01,BAYBURT,KARADENIZ BOLGESI,2018
2754.61,11689.37,140325.51,115.37,13937.97,168822.83,0.85,0,1446.23,0,0.09,1446.32,20092.54,0.08,223448,265645558.8,40.150131,29.983061,40.197617,30.013592,40.106243,29.956657,4179,2018-01-01,BILECIK,MARMARA BOLGESI,2018
1018.21,8987.75,3503.52,19.07,8908.27,22436.82,0.11,0,0,0,0,0,29398.6,0.11,281205,265645558.8,38.885349,40.498291,38.897963,40.525929,38.872987,40.477258,8003,2018-01-01,BINGOL,DOGU ANADOLU BOLGESI,2018
2423.25,10960.02,606,-221.74,12413.34,26180.87,0.13,0,278.11,0,0,278.11,1537.6,0.01,349396,265645558.8,38.4,42.1166667,38.453638,42.148879,38.385312,42.09384,8294,2018-01-01,BITLIS,DOGU ANADOLU BOLGESI,2018
2303.79,11839.55,29040.94,44.6,29124.9,72353.78,0.36,0,280.48,0,0,280.48,204699.87,0.78,311810,265645558.8,40.739479,31.611561,40.758004,31.658418,40.716802,31.573324,8313,2018-01-01,BOLU,KARADENIZ BOLGESI,2018
2267.74,13094.94,47891.58,489.41,16124.6,79868.27,0.4,0,5165.04,0,0,5165.04,5968.78,0.02,269926,265645558.8,37.726909,30.288876,37.76375,30.336662,37.691433,30.191757,7175,2018-01-01,BURDUR,AKDENIZ BOLGESI,2018
12707.61,191106.91,609724.65,1618.56,204804.58,1019962.31,5.14,0,880.55,1060.49,1360.4,3301.45,1003280.74,3.84,2994521,265645558.8,40.18257,29.06687,40.297194,29.211237,40.162997,28.85963,10813,2018-01-01,BURSA,MARMARA BOLGESI,2018
4223,38528.21,169012.34,628.09,40855.15,253246.79,1.28,0,349.62,0,1215.14,1564.76,2344520.98,8.98,540662,265645558.8,40.155312,26.41416,40.199462,26.457106,40.088086,26.378026,9817,2018-01-01,CANAKKALE,MARMARA BOLGESI,2018
2495.43,8560.98,22341.91,80.63,9607.03,43085.98,0.22,0,287.31,0,0,287.31,7767.84,0.03,216362,265645558.8,40.6,33.6166667,40.655159,33.684853,40.557709,33.596571,7542,2018-01-01,CANKIRI,IC ANADOLU BOLGESI,2018
4182.75,24502.66,16564.79,156.1,21610.38,67016.67,0.34,0,2281.42,0,0,2281.42,41829.34,0.16,536483,265645558.8,40.5505556,34.9555556,40.609317,35.006438,40.495214,34.887634,12428,2018-01-01,CORUM,KARADENIZ BOLGESI,2018
7388.43,51688.56,166000.15,843.36,60415.18,286335.67,1.44,0,6819.59,0,0,6819.59,515855.16,1.98,1027782,265645558.8,37.77652,29.08639,37.847366,29.188915,37.716171,28.981373,12134,2018-01-01,DENIZLI,EGE BOLGESI,2018
4750.01,68520.63,38702.38,10860.36,79848.89,202682.27,1.02,0,167.85,0,0,167.85,147131.61,0.56,1732396,265645558.8,37.91441,40.230629,37.976174,40.245803,37.879624,40.106159,15101,2018-01-01,DIYARBAKIR,GUNEYDOGU ANADOLU BOLGESI,2018
2915.39,14727.61,47990.08,33.66,20042.76,85709.5,0.43,0,5.2,0,0,5.2,27899.62,0.11,387844,265645558.8,40.843849,31.15654,40.891762,31.195807,40.824717,31.106662,2492,2018-01-01,DUZCE,KARADENIZ BOLGESI,2018
1940,21372.99,35456.09,1696.01,28793,89258.09,0.45,0,46.14,0,61.11,107.25,46850.21,0.18,411528,265645558.8,41.6666667,26.5666667,41.697939,26.603093,41.649935,26.514059,6145,2018-01-01,EDIRNE,MARMARA BOLGESI,2018
3538.26,24068.16,31593.04,375.15,32327.35,91901.96,0.46,0,4573.88,0,0,4573.88,238450.52,0.91,595638,265645558.8,38.680969,39.226398,38.713568,39.277314,38.630564,39.133405,9383,2018-01-01,ELAZIG,DOGU ANADOLU BOLGESI,2018
2243.11,9399.75,8947,54.41,13663.99,34308.25,0.17,0,1937.49,0,0,1937.49,48593.96,0.19,236034,265645558.8,39.75,39.5,39.769164,39.531743,39.729884,39.460253,11815,2018-01-01,ERZINCAN,DOGU ANADOLU BOLGESI,2018
6227.13,27591.23,5227.56,61.01,38814.15,77921.07,0.39,0,2768.32,0,0,2768.32,28533.42,0.11,767848,265645558.8,39.9043189,41.2678853,39.954533,41.303594,39.866715,41.177093,25006,2018-01-01,ERZURUM,DOGU ANADOLU BOLGESI,2018
5182.69,54016.47,128720.73,1255.05,67617.69,256792.63,1.29,3361.08,6327.57,0,0,9688.65,111160.9,0.43,871187,265645558.8,39.784302,30.51922,39.816793,30.66769,39.724752,30.414084,13960,2018-01-01,ESKISEHIR,IC ANADOLU BOLGESI,2018
8048.95,118084.68,423935.63,2528.4,115631.6,668229.27,3.37,0,9535.38,0,0,9535.38,65834.34,0.25,2028563,265645558.8,37.06622,37.38332,37.113722,37.466958,37.005947,37.303709,6803,2018-01-01,GAZIANTEP,GUNEYDOGU ANADOLU BOLGESI,2018
5698.71,25757.65,5951.39,8.37,19479.75,56895.87,0.29,0,0,0,0,0,109227.32,0.42,453912,265645558.8,40.912811,38.38953,40.927995,38.450044,40.877876,38.309018,6972,2018-01-01,GIRESUN,KARADENIZ BOLGESI,2018
1651.62,5642.08,18135.57,11.87,7505.4,32946.54,0.17,0,0,0,0,0,87767.96,0.34,162748,265645558.8,40.4602778,39.4813889,40.471359,39.520641,40.430201,39.446914,6668,2018-01-01,GUMUSHANE,KARADENIZ BOLGESI,2018
1310.92,8871.05,75,0.32,11541.69,21798.98,0.11,0,0,0,0,0,3800.19,0.01,286470,265645558.8,37.5833333,43.7333333,37.601656,43.762257,37.551549,43.69809,7095,2018-01-01,HAKKARI,DOGU ANADOLU BOLGESI,2018
9028.02,122553.39,193477.93,1946.54,73516.34,400522.23,2.02,0,1144.47,0,123.92,1268.39,1519590.19,5.82,1609856,265645558.8,36.4018488,36.3498097,37.014921,36.697535,35.812692,35.779375,5524,2018-01-01,HATAY,AKDENIZ BOLGESI,2018
1451.24,6421.38,426.92,18.27,7713.23,16031.04,0.08,0,0,0,0,0,2741.1,0.01,197456,265645558.8,39.9166667,44.0333333,39.950163,44.092825,39.884109,43.980729,3664,2018-01-01,IGDIR,DOGU ANADOLU BOLGESI,2018
3689.56,25273.28,40299.64,441.73,36481.42,106185.63,0.53,0,8696.71,0,0,8696.71,88199.9,0.34,441412,265645558.8,37.7666667,30.55,37.830719,30.609197,37.73988,30.503673,8946,2018-01-01,ISPARTA,AKDENIZ BOLGESI,2018
51578.88,1126392.86,931389.23,497.37,1637618.17,3747476.51,18.88,0,64.51,0,436.59,501.1,1236160.7,4.74,15067724,265645558.8,41.00527,28.97696,41.320786,29.456456,40.80275,27.971307,5461,2018-01-01,ISTANBUL,MARMARA BOLGESI,2018
21368.22,354960.82,662692.31,6096.89,317376.55,1362494.8,6.86,802.53,6388.28,0,5.36,7196.17,1322445.32,5.07,4320519,265645558.8,38.41885,27.12872,38.506773,27.304415,38.343157,27.017192,11891,2018-01-01,IZMIR,EGE BOLGESI,2018
4609.64,48746.26,225182.13,1020.51,57992.66,337551.2,1.7,0,6091.89,0,0,6091.89,622633.36,2.39,1144851,265645558.8,37.5833333,36.9333333,37.605261,36.997678,37.530309,36.829703,14520,2018-01-01,KAHRAMANMARAS,AKDENIZ BOLGESI,2018
2422.7,12158.32,22331.53,99.29,12919.76,49931.61,0.25,0,464.54,0,0,464.54,51220.92,0.2,248014,265645558.8,41.2,32.6333333,41.238129,32.675518,41.163014,32.592582,4142,2018-01-01,KARABUK,KARADENIZ BOLGESI,2018
1628.6,11752.24,23353.31,706.05,12533.03,49973.23,0.25,219.95,3662.71,0,0,3882.66,167214.58,0.64,251913,265645558.8,37.17593,33.228748,37.229373,33.334244,37.148257,33.166003,8678,2018-01-01,KARAMAN,IC ANADOLU BOLGESI,2018
1604.34,8285.21,4266.96,0,12458.19,26614.7,0.13,0,29.51,0,0,29.51,16730.86,0.06,288878,265645558.8,40.59267,43.077831,40.624843,43.1339,40.577484,43.056432,10193,2018-01-01,KARS,DOGU ANADOLU BOLGESI,2018
4875.51,19125.55,29627.64,62.86,17558.72,71250.28,0.36,6.28,0,0,0,6.28,12958.78,0.05,383373,265645558.8,41.38871,33.78273,41.436059,33.814989,41.350668,33.752901,13064,2018-01-01,KASTAMONU,KARADENIZ BOLGESI,2018
10872.83,62720.67,166678.65,638.22,66191.4,307101.77,1.55,0,17868.6,0,0,17868.6,119928.23,0.46,1389680,265645558.8,38.7333333,35.4833333,38.818797,35.627675,38.622002,35.304324,16970,2018-01-01,KAYSERI,IC ANADOLU BOLGESI,2018
963.42,6714.57,3812.52,286.34,13570.11,25346.96,0.13,0,879.69,0,0,0,0,0,142541,265645558.8,36.718399,37.12122,36.747819,37.159541,36.702673,37.085183,1412,2018-01-01,KILIS,GUNEYDOGU ANADOLU BOLGESI,2018
2500.75,15382.41,19210.63,77.67,15437.5,52608.96,0.27,0,1631.81,0,0,1631.81,842219.09,3.23,286602,265645558.8,39.846821,33.515251,39.872843,33.597968,39.813802,33.468289,4791,2018-01-01,KIRIKKALE,IC ANADOLU BOLGESI,2018
1681.57,18602.44,131270.38,160.77,24350.22,176065.38,0.89,0,0,0,0,0,757351.8,2.9,360860,265645558.8,41.7333333,27.2166667,41.760054,27.24222,41.710615,27.182843,6459,2018-01-01,KIRKLARELI,MARMARA BOLGESI,2018
2274.61,11635.79,7469.95,119.58,12248.72,33748.66,0.17,0,2038.17,0,0,2038.17,36529.88,0.14,241868,265645558.8,39.15,34.1666667,39.203939,34.217743,39.081293,34.125532,6584,2018-01-01,KIRSEHIR,IC ANADOLU BOLGESI,2018
9158.01,79849.12,615967.62,246.82,121808.32,827029.89,4.17,336.48,57.78,623.58,0,1017.84,638291.23,2.45,1906391,265645558.8,40.8532704,29.8815203,41.20976,30.359684,40.532782,29.333462,3397,2018-01-01,KOCAELI,MARMARA BOLGESI,2018
14851.68,111107.44,175263.46,5361.7,119868.46,426452.74,2.15,0,33770.82,0,0,33770.82,14650.18,0.06,2205609,265645558.8,37.8666667,32.4833333,38.05063,32.680116,37.719031,32.338737,40838,2018-01-01,KONYA,IC ANADOLU BOLGESI,2018
5047.12,32168.19,84908.23,126.72,31420.13,153670.4,0.77,91.94,4539.45,0,0,4631.39,548175.93,2.1,577941,265645558.8,39.4166667,29.9833333,39.442718,30.066503,39.379473,29.919199,11634,2018-01-01,KUTAHYA,EGE BOLGESI,2018
5153.95,35081.4,54922.75,340.6,38308.39,133807.09,0.67,1081.33,1740.89,0,0,2822.22,14350.39,0.05,797036,265645558.8,38.35519,38.30946,38.397559,38.453244,38.305123,38.232622,12259,2018-01-01,MALATYA,DOGU ANADOLU BOLGESI,2018
8621.39,90651.71,193272.62,2149.02,98209.36,392904.1,1.98,0,9450.16,0,0,9450.16,747365.99,2.86,1429643,265645558.8,38.619099,27.428921,38.642289,27.487976,38.602376,27.326086,13339,2018-01-01,MANISA,EGE BOLGESI,2018
3302.74,33877.13,26986.83,34848.16,36597.52,135612.37,0.68,0,163.48,0,0,163.48,1736.93,0.01,829195,265645558.8,37.3122361,40.735112,37.330554,40.764486,37.305109,40.716971,8780,2018-01-01,MARDIN,GUNEYDOGU ANADOLU BOLGESI,2018
10694.31,147202.92,128988.07,4381.93,110021.37,401288.59,2.02,3851.53,6197.84,0,0,10049.37,319123.29,1.22,1814468,265645558.8,36.8,34.6333333,36.878272,34.716702,36.699503,34.457655,16010,2018-01-01,MERSIN,AKDENIZ BOLGESI,2018
8830.28,97770.78,64665.35,1257.19,107895.9,280419.5,1.41,0,5863.07,0,0,5863.07,1052713.55,4.03,967487,265645558.8,37.2152778,28.3636111,37.22581,28.414498,37.194651,28.341279,12654,2018-01-01,MUGLA,EGE BOLGESI,2018
1768.4,12342.48,6502.97,130.38,11161.12,31905.35,0.16,0,141.93,0,0,141.93,48924.98,0.19,407992,265645558.8,38.7432926,41.5064823,38.783503,41.540625,38.718224,41.472306,8718,2018-01-01,MUS,DOGU ANADOLU BOLGESI,2018
3554.76,15480.19,12006.51,670.66,19958.96,51671.08,0.26,243.47,4839.52,0,0,5082.99,26422.14,0.1,298339,265645558.8,38.62442,34.723969,38.684107,34.764759,38.589047,34.669752,5485,2018-01-01,NEVSEHIR,IC ANADOLU BOLGESI,2018
3264.09,14827.35,44224.78,567.29,16325.07,79208.57,0.4,0,5446.51,0,0,5446.51,581,0,364707,265645558.8,37.9666667,34.6833333,37.979913,34.691585,37.956992,34.661906,7234,2018-01-01,NIGDE,IC ANADOLU BOLGESI,2018
7242.12,34576.07,31428.12,13.73,22274.34,95534.38,0.48,240.29,0,0,0,240.29,126002.13,0.48,771932,265645558.8,40.9833333,37.8833333,41.02034,37.978976,40.931631,37.825992,5914,2018-01-01,ORDU,KARADENIZ BOLGESI,2018
3046.4,30107.51,301928.71,131.05,20642.4,355856.07,1.79,0,2033.46,0,0,2033.46,226077.82,0.87,534415,265645558.8,37.06805,36.261589,37.104061,36.287941,37.04694,36.208034,3320,2018-01-01,OSMANIYE,AKDENIZ BOLGESI,2018
4602.72,20639.44,9758.02,0.03,18883.5,53883.71,0.27,0,0,949.06,0,949.06,49083.55,0.19,348608,265645558.8,41.02005,40.523449,41.046492,40.586802,41.010782,40.478578,3835,2018-01-01,RIZE,KARADENIZ BOLGESI,2018
6315.18,40589.94,213343.76,278.15,60572.96,321099.99,1.62,0,2.77,0,0,2.77,893207.23,3.42,1010700,265645558.8,40.7568793,30.378138,40.825518,30.439832,40.686199,30.322138,4824,2018-01-01,SAKARYA,MARMARA BOLGESI,2018
10441.37,67848.72,88195.84,622.95,53962.17,221071.04,1.11,0,389.91,68.71,0,458.62,870189.77,3.33,1335716,265645558.8,41.292782,36.33128,41.344134,36.381205,41.235002,36.249519,9725,2018-01-01,SAMSUN,KARADENIZ BOLGESI,2018
5949.56,104505.51,61299.74,163952.69,69754.47,405461.96,2.04,0,8377.27,0,0,8377.27,335039.89,1.28,2035809,265645558.8,37.15,38.8,37.189639,38.840876,37.098274,38.767868,19242,2018-01-01,SANLIURFA,GUNEYDOGU ANADOLU BOLGESI,2018
2124.89,11736.87,10984.93,3648.3,11682.32,40177.3,0.2,0,13.39,0,0,13.39,33698.46,0.13,331670,265645558.8,37.94429,41.93288,37.95594,41.963658,37.909671,41.872547,5717,2018-01-01,SIIRT,GUNEYDOGU ANADOLU BOLGESI,2018
2003.02,9424.26,5091.93,44.9,5949.26,22513.37,0.11,0,0.16,0,0,0.16,110448.95,0.42,219733,265645558.8,42.0264222,35.1550745,42.032135,35.194947,42.012675,35.115957,5717,2018-01-01,SINOP,KARADENIZ BOLGESI,2018
1231.46,16440.34,1533.31,5777.96,27722.87,52705.94,0.27,0,0,0,0,0,179970.94,0.69,524190,265645558.8,37.5163889,42.4611111,37.533572,42.471127,37.500093,42.444631,7078,2018-01-01,SIRNAK,DOGU ANADOLU BOLGESI,2018
5390.17,32350.03,44235.76,64.2,31202.88,113243.04,0.57,0,2225.6,0,0,2225.6,368363.33,1.41,646608,265645558.8,39.747662,37.017879,39.783669,37.061673,39.699024,36.919858,28164,2018-01-01,SIVAS,IC ANADOLU BOLGESI,2018
2276,48030.01,447096.9,191.96,66086.12,563680.99,2.84,0,0,0,36.44,36.44,316911.24,1.21,1029927,265645558.8,40.9833333,27.5166667,40.996723,27.600252,40.937704,27.468993,6190,2018-01-01,TEKIRDAG,MARMARA BOLGESI,2018
4235.63,34185.87,18107.02,132.75,24575.08,81236.35,0.41,795.29,443.97,0,532.99,1772.24,159698.31,0.61,612646,265645558.8,40.3166667,36.55,40.358932,36.593219,40.267868,36.469662,10042,2018-01-01,TOKAT,KARADENIZ BOLGESI,2018
8476.42,55030.25,15159.57,43.1,47485.34,126194.68,0.64,0,0,0,0,0,50108.83,0.19,807903,265645558.8,41,39.7333333,41.01237,39.82051,40.955736,39.652407,4628,2018-01-01,TRABZON,KARADENIZ BOLGESI,2018
976.4,3621.31,562.98,6.29,5636.71,10803.69,0.05,0,31.89,0,0,31.89,15019.19,0.06,88198,265645558.8,39.1079868,39.5401672,39.113477,39.55185,39.094534,39.530015,7582,2018-01-01,TUNCELI,DOGU ANADOLU BOLGESI,2018
3150.28,20305.12,104881.83,215.05,26691.55,155243.84,0.78,0,6536.34,0,0,6536.34,12923.37,0.05,367514,265645558.8,38.682301,29.40819,38.71588,29.469838,38.630679,29.355936,5555,2018-01-01,USAK,EGE BOLGESI,2018
4374.12,34108.27,3303.01,103.84,35702.93,77592.17,0.39,0,81.66,0,0,81.66,10835.91,0.04,1123784,265645558.8,38.4941667,43.38,38.580314,43.455356,38.42188,43.269524,20921,2018-01-01,VAN,DOGU ANADOLU BOLGESI,2018
1706.46,18665.67,14516.13,516.88,17948.93,53354.07,0.27,0,0,0,0,0,85295.95,0.33,262234,265645558.8,40.65,29.2666667,40.66806,29.316536,40.634138,29.210233,798,2018-01-01,YALOVA,MARMARA BOLGESI,2018
3849.4,21618.41,15532.17,190.1,17764.28,58954.36,0.3,0,1599.46,0,0,1599.46,0,0,424981,265645558.8,39.82,34.8044444,39.838423,34.858236,39.798968,34.771094,13690,2018-01-01,YOZGAT,IC ANADOLU BOLGESI,2018
8116.65,36849.96,36583.7,57.13,27435.62,109043.07,0.55,1007.27,0,0,0,1007.27,1741613.95,6.67,599698,265645558.8,41.456409,31.798731,41.480784,31.874425,41.425296,31.757052,3342,2018-01-01,ZONGULDAK,KARADENIZ BOLGESI,2018
10063.37,148819.8,249247.1,2881.68,109431.02,520442.97,2.8,98.6,7774.86,0,0,7873.46,1580332.67,6.85,2220125,265645558.8,37,35.3213333,37.072004,35.461995,36.935523,35.174706,13844,2018-02-01,ADANA,AKDENIZ BOLGESI,2018
2789.86,23811.84,36269.54,324.48,20317.26,83512.97,0.45,0,7082.39,0,0,7082.39,64734.56,0.28,624513,265645558.8,37.7641667,38.2761667,37.825667,38.335465,37.717086,38.188188,7337,2018-02-01,ADIYAMAN,GUNEYDOGU ANADOLU BOLGESI,2018
5726.18,33538.82,62885.76,2034.74,42114.17,146299.67,0.79,0,16325.88,0,0,16325.88,64370.8,0.28,725568,265645558.8,38.76376,30.54034,38.802105,30.611167,38.714289,30.44232,14016,2018-02-01,AFYONKARAHISAR,EGE BOLGESI,2018
2073.5,13205.83,1023.78,0.8,13169.63,29473.54,0.16,0,0,0,0,0,0,0,539657,265645558.8,39.7216667,43.0566667,39.748605,43.085241,39.688144,43.001778,11099,2018-02-01,AGRI,DOGU ANADOLU BOLGESI,2018
1380.2,16531.07,23042.05,763.84,13771.91,55489.06,0.3,161.12,9710.09,0,0,9871.21,3792.6,0.02,412172,265645558.8,38.36869,34.03698,38.446724,34.088698,38.297012,33.932515,7659,2018-02-01,AKSARAY,IC ANADOLU BOLGESI,2018
3043.26,16879.25,11976.07,144.22,16031.9,48074.7,0.26,0,1683.57,0,0,1683.57,53085.94,0.23,337508,265645558.8,40.65,35.8333333,40.672834,35.856321,40.636911,35.789091,5628,2018-02-01,AMASYA,KARADENIZ BOLGESI,2018
25831.39,352983.13,309792.64,1220.97,446073.64,1135901.76,6.11,281.67,15145.05,0,0,15426.72,666824.87,2.89,5503985,265645558.8,39.92077,32.85411,40.100981,33.024866,39.722821,32.499097,25632,2018-02-01,ANKARA,IC ANADOLU BOLGESI,2018
13349.24,208665.73,81022.18,5002.21,208315.04,516354.4,2.78,0,10586.31,0,0,10586.31,483361.81,2.09,2426356,265645558.8,36.88414,30.70563,36.975178,30.840953,36.785866,30.516095,20177,2018-02-01,ANTALYA,AKDENIZ BOLGESI,2018
928.11,3215.36,127.16,0,5778.17,10048.8,0.05,0,0,0,0,0,7763.13,0.03,98907,265645558.8,41.110481,42.702171,41.121467,42.717129,41.09891,42.686418,4934,2018-02-01,ARDAHAN,DOGU ANADOLU BOLGESI,2018
2224.08,9218.56,4337.25,1.4,9380.16,25161.44,0.14,0,0,0,0,0,350729.9,1.52,174010,265645558.8,41.1833333,41.8166667,41.207078,41.854799,41.155415,41.777361,7393,2018-02-01,ARTVIN,KARADENIZ BOLGESI,2018
6831.9,86952.98,50114.02,1347.82,66051.29,211298,1.14,1814.23,6609.43,0,0,8423.66,436702.75,1.89,1097746,265645558.8,37.8444,27.8458,37.870997,27.885355,37.819573,27.790522,8116,2018-02-01,AYDIN,EGE BOLGESI,2018
9774.32,97297.8,99256.32,643.09,85584.55,292556.07,1.57,0,2789.61,0,4286.86,7076.47,969070.37,4.2,1226575,265645558.8,39.648369,27.88261,39.693666,27.95241,39.612411,27.838313,14583,2018-02-01,BALIKESIR,MARMARA BOLGESI,2018
2436.4,10159.45,17040.83,54.92,8229.16,37920.76,0.2,0,2.99,0,0,2.99,4088.79,0.02,198999,265645558.8,41.6344444,32.3375,41.656542,32.37105,41.613513,32.297457,2330,2018-02-01,BARTIN,KARADENIZ BOLGESI,2018
2094.04,29183.35,21957.23,481.08,24952.84,78668.53,0.42,0,576.74,0,0,576.74,14626.36,0.06,599103,265645558.8,37.881168,41.13509,37.947274,41.17603,37.85657,41.080591,4477,2018-02-01,BATMAN,GUNEYDOGU ANADOLU BOLGESI,2018
937.11,2841.58,119.58,8.4,3314.1,7220.77,0.04,0,841.17,0,0,841.17,2521.64,0.01,82274,265645558.8,40.255169,40.22488,40.272636,40.238261,40.242881,40.208762,3746,2018-02-01,BAYBURT,KARADENIZ BOLGESI,2018
1861.78,11859.78,136435.32,109.27,13466.73,163732.87,0.88,0,1343.95,0,0.12,1344.08,14491.01,0.06,223448,265645558.8,40.150131,29.983061,40.197617,30.013592,40.106243,29.956657,4179,2018-02-01,BILECIK,MARMARA BOLGESI,2018
1184.91,8699.45,5662.6,30.41,9151.26,24728.64,0.13,0,54.45,0,0,54.45,46548.99,0.2,281205,265645558.8,38.885349,40.498291,38.897963,40.525929,38.872987,40.477258,8003,2018-02-01,BINGOL,DOGU ANADOLU BOLGESI,2018
2129.01,9802.75,587.58,-118.09,11038.44,23439.7,0.13,0,376.34,0,0,376.34,4705.95,0.02,349396,265645558.8,38.4,42.1166667,38.453638,42.148879,38.385312,42.09384,8294,2018-02-01,BITLIS,DOGU ANADOLU BOLGESI,2018
2149.95,15217.75,28321.51,66.51,27837.88,73593.6,0.4,0,184.45,0,0,184.45,197318.98,0.86,311810,265645558.8,40.739479,31.611561,40.758004,31.658418,40.716802,31.573324,8313,2018-02-01,BOLU,KARADENIZ BOLGESI,2018
1935,10946.59,44372.85,365.65,12490.12,70110.21,0.38,0,4598.21,0,0,4598.21,2179.08,0.01,269926,265645558.8,37.726909,30.288876,37.76375,30.336662,37.691433,30.191757,7175,2018-02-01,BURDUR,AKDENIZ BOLGESI,2018
